,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
12,38,29,9,289.7632,415.1379,1355.556,11011,12039,12200,33,361.7879,11939,,,,,,,,,
13,38,38,31,285.6053,311.8421,385.4839,10853,11850,11950,41,286.6829,11754,,,,,,,,,
14,26,27,21,429.5,444.6296,571.619,11167,12005,12004,30,397.1,11913,,,,,,,,,
15,25,25,21,429.44,462.16,555,10736,11554,11655,26,436.4231,11347,,,,,,,,,
16,37,32,27,286.2973,372.375,442.1481,10593,11916,11938,35,334.7714,11717,,,,,,,,,
17,22,20,15,505.4091,573.65,769.7333,11119,11473,11546,24,470.875,11301,,,,,,,,,
18,29,26,16,385.2759,457.6923,747.4375,11173,11900,11959,29,405.1724,11750,,,,,,,,,
19,42,40,24,249.0714,298.4,504,10461,11936,12096,41,285.3415,11699,,,,,,,,,
20,19,20,15,576.6316,573.95,767.9333,10956,11479,11519,20,563.9,11278,,,,,,,,,
21,30,31,31,339.7667,348.871,350.5484,10193,10815,10867,32,336.7813,10777,,,,,,,,,
22,32,26,14,347.1875,449.9231,848.5,11110,11698,11879,34,343.6471,11684,,,,,,,,,
23,30,27,20,348.6667,414.037,566.9,10460,11179,11338,30,370.9667,11129,,,,,,,,,
24,30,28,25,351.7,401.8571,459.12,10551,11252,11478,30,368.6667,11060,,,,,,,,,
25,28,23,16,387.7143,494.913,718.4375,10856,11383,11495,29,392.0345,11369,,,,,,,,,
26,27,28,20,407,425.6786,595.4,10989,11919,11908,29,404,11716,,,,,,,,,
27,32,32,25,306.0625,329.9375,427.8,9794,10558,10695,34,307.9118,10469,,,,,,,,,
28,10,9,4,1204,1356.667,3053.75,12040,12210,12215,11,1094.364,12038,,,,,,,,,
29,20,19,18,394.5,439.3684,479,7890,8348,8622,27,356.4815,9625,,,,,,,,,
30,39,33,23,278.1282,360,515.2609,10847,11880,11851,36,324.6944,11689,,,,,,,,,
